SV	Burden	SKAT	SKATO
3.14501641132973e-07	0.00113409243180678	6.79718384404291e-18	2.91869591062647e-17
4.74683491153874e-05	0.000139718002857672	6.36145561783152e-08	2.23360812027381e-08
2.83878454392088e-10	0.000217166069333118	6.22273399101119e-14	1.62533755671841e-13
1.73387564619484e-07	0.000447510535698877	4.02291946124165e-14	1.25336547559247e-13
1.81161658744781e-10	5.86120643609303e-11	7.61193921552578e-26	1.07453403282485e-28
7.11549060381538e-11	0.000150616715299401	1.93886986909116e-13	4.56759749539486e-13
7.4007371323983e-07	4.35738023280813e-06	4.69003741996622e-16	1.93311344929117e-16
9.11434937388828e-07	1.54165708114014e-10	3.11696776306716e-14	1.3022163938928e-18
1.55266460234261e-06	0.00342003674527509	1.33834607804001e-11	6.09911547982661e-11
1.16315575955993e-06	3.96386610213562e-08	1.405073697056e-11	2.75997148643081e-14
1.0681764774301e-07	6.56110939564371e-07	1.17785052744576e-18	2.87427222949426e-19
1.96311491240099e-09	4.01146820990833e-06	3.6686391125117e-15	1.16484514983167e-15
1.83047440272577e-06	5.97092512085344e-07	2.70103094513297e-13	8.60251034386788e-15
1.92376728357949e-10	7.53104703118968e-05	3.09560991721864e-15	6.55582525210558e-15
2.02467282328969e-07	1.23755222357608e-06	2.70748119471501e-14	2.19731984906579e-15
5.83861882965888e-07	1.81516225617482e-06	1.12248851014924e-14	1.42055594486581e-15
9.04318486401725e-07	0.0147396778427092	7.55821847835142e-12	4.74641358797476e-11
7.60938371127866e-07	3.52703060005594e-05	1.07881702497864e-10	3.86383125620748e-11
2.47810355348896e-06	0.0369934985408882	6.99276801447343e-10	4.85089395757098e-09
4.38855672901103e-06	2.99397346741641e-07	4.02280449513713e-09	2.02682990418627e-11
4.82265881319973e-07	1.7706212172716e-05	2.15973778026944e-09	3.05258551537769e-10
8.4209734696186e-08	3.89361722510795e-07	1.90336403197835e-16	1.23875541568265e-17
6.82848566298829e-07	2.40530637820966e-05	4.31243138005124e-14	4.07073507239338e-14
2.72093858422648e-07	6.91198467312103e-05	1.93134903150702e-13	3.30068142094544e-13
2.85722890850791e-06	0.00400707170554971	5.77977406451365e-13	2.81133165849485e-12
5.11728872687756e-11	0.000119690624698175	1.37109687351646e-13	3.09163931273472e-13
6.82488572603048e-07	9.31455588907691e-10	7.73332220349807e-16	2.51086490407213e-19
3.22719039486928e-10	0.000144602649043949	2.2964770491038e-16	5.84527387501396e-16
8.4918987474854e-09	0.000258924293268119	4.0938737611238e-14	1.11371114583034e-13
2.72828686161342e-07	2.84771226552357e-05	2.81411607137596e-10	7.50055185595549e-11
7.23789232526465e-08	0.000526120834768135	2.30202904771157e-13	7.31025686511881e-13
1.09559972067052e-09	2.1497420436307e-05	7.29124072508214e-16	1.10704459570649e-15
2.44547717187069e-13	1.07447247909775e-09	5.80495272622613e-16	2.20553388530582e-19
1.89865917408552e-08	0.00479381942356145	3.88230692801521e-11	1.85820667919896e-10
9.84448720646031e-09	0.00132648008169636	3.2580561509583e-11	1.19116379633787e-10
2.65064991373948e-08	7.09300157914983e-06	2.38566528753172e-15	1.30676718039885e-15
1.32992472455489e-11	0.000533199452035271	1.9982358898601e-16	6.90201255650338e-16
3.86354415146522e-12	4.06938863114269e-06	2.2199228985993e-21	2.70040152199065e-21
4.74111809332725e-07	0.0169287003490632	1.21457465515293e-09	7.17052801206033e-09
7.05855280299585e-09	0.0329731020589511	1.28516615363826e-10	8.89204995190778e-10
1.13696740289375e-09	6.17729303887723e-09	4.79876972641357e-20	4.20609618309315e-22
1.61197115003491e-09	0.000140758807550433	5.96490532106122e-18	1.59103841282537e-17
1.49154207938923e-06	2.05745874799635e-05	3.69390700547768e-13	1.99294751783301e-13
9.70668580189289e-08	6.92257979245637e-06	5.34647447282435e-12	8.15895782951842e-13
6.80253803793242e-05	7.61932186031762e-05	7.09265965959105e-08	3.04261703761689e-08
8.2751373855944e-09	0.00560887584149722	6.6640593043843e-08	5.49286395753014e-08
2.34913348776759e-07	9.25779603202698e-08	2.27723871111125e-11	8.52219397329797e-14
1.48731045224149e-05	8.37089262163367e-06	5.68328315520006e-08	2.35682405851159e-10
7.86927192202797e-08	0.000180031376758686	2.66623538847885e-10	2.82678757911916e-10
0.000294325801481952	2.84032716491918e-06	1.24108069821105e-07	1.38192905416055e-09
5.22273403514136e-10	1.52362017765124e-07	3.76257265524964e-13	3.82865283870172e-15
4.56400188498736e-09	1.17908085198745e-08	1.31106398005049e-20	2.16998060439835e-22
4.87515263943816e-08	3.26771983324946e-05	2.75418555285524e-18	5.1870539256621e-18
5.91840420898808e-06	4.22080117935672e-10	1.65493645907704e-11	7.07250497299708e-16
1.40207246193618e-11	1.76581252280089e-05	2.78306457985581e-21	4.875315043788e-21
2.29933361058038e-07	0.000326227513604922	1.93180563641687e-11	4.73461634370244e-11
