SV	Burden	SKAT	SKATO
5.1768562333006e-08	2.39383027507042e-13	2.75180577388453e-18	1.776071281323e-21
5.70966835927001e-08	8.45285478086599e-12	7.61274563442187e-18	4.73525349225157e-20
1.67190492341297e-08	4.98885805972591e-12	8.02813634566008e-15	4.82070541476904e-18
2.01468332051055e-08	3.2343465080209e-14	4.56252074662196e-18	4.62139520070877e-22
3.51572327805223e-07	1.15400034430402e-10	4.26558526574653e-11	2.87566990034201e-14
9.82611578813391e-12	1.19520066301642e-09	7.18299224011412e-27	3.07173981689161e-27
3.14501641132973e-07	2.94117581878947e-11	3.28331581039615e-21	1.21062266234321e-22
4.74683491153874e-05	1.4535013924863e-08	2.45688149942284e-12	1.34529368143942e-13
2.83878454392088e-10	2.98407642676661e-12	6.69109723824495e-18	2.0056753596174e-20
1.73387564619484e-07	9.92534594772703e-12	1.85510703292047e-18	2.04924177906858e-20
1.81161658744781e-10	1.31618117808834e-15	5.52102027701565e-29	1.28433480004923e-31
7.11549060381538e-11	1.07788099336862e-05	3.77138564514709e-19	1.67581413986198e-18
7.4007371323983e-07	2.63143961757954e-16	4.62808498368169e-19	2.0617195509524e-24
9.11434937388828e-07	2.23177281256948e-17	2.60959285677821e-17	5.93804512275348e-24
1.55266460234261e-06	7.21885435228504e-08	3.62897800223868e-13	8.41422821366027e-14
1.16315575955993e-06	1.3447989653143e-17	2.78013965767235e-15	1.32470310981237e-22
1.0681764774301e-07	1.22784388400474e-18	9.3257843483121e-20	1.1857454480178e-26
1.96311491240099e-09	2.87489182040404e-14	1.3731078177391e-17	8.53304054469486e-22
1.83047440272577e-06	3.88818207692622e-16	2.14656524168629e-17	4.02996345620421e-23
1.92376728357949e-10	6.72745311218585e-12	3.12750565054741e-19	3.91424858967175e-21
2.02467282328969e-07	2.4111090520592e-16	1.72902794611262e-18	5.82108330607207e-24
5.83861882965888e-07	1.04841147210081e-15	4.97796406965852e-20	1.20384473872097e-24
9.04318486401725e-07	2.10016505748017e-07	7.35831582024858e-15	3.3606222254563e-15
7.60938371127866e-07	1.2923694386954e-06	1.12677100705725e-14	9.97412150549645e-15
2.47810355348896e-06	2.18918436536621e-06	1.65977256831851e-12	1.32175435809853e-12
4.38855672901103e-06	2.74243236701449e-07	3.79361487661959e-10	4.36035180313424e-11
4.82265881319973e-07	1.38971835107041e-12	5.54912829972053e-14	8.3368125438669e-18
8.4209734696186e-08	2.44911816268808e-11	2.17621078596596e-17	2.18272765026834e-19
6.82848566298829e-07	8.08418432550325e-15	5.40350478805015e-16	5.26174778298223e-21
2.72093858422648e-07	6.07726150250232e-15	3.3893056616266e-15	1.68949408901409e-20
2.85722890850791e-06	0.00128041158454944	2.06847529498033e-13	1.29081188864438e-12
5.11728872687756e-11	1.28805080349081e-11	4.18194951991086e-17	2.14146198756519e-19
6.82488572603048e-07	8.24128660398764e-14	7.32591846914226e-17	6.9990102697423e-21
3.22719039486928e-10	2.53070688035274e-11	2.4832623477291e-22	1.0316610832256e-23
8.4918987474854e-09	1.03458099813941e-17	7.568502902905e-19	2.52350987081911e-25
2.72828686161342e-07	2.32203788935515e-11	1.40219874463824e-14	2.49580465151041e-17
7.23789232526465e-08	1.99866668964346e-12	8.82901585355161e-18	2.20032877130382e-20
1.09559972067052e-09	5.90962412194229e-08	3.20996323708662e-18	1.60851911237622e-18
2.44547717187069e-13	1.91086553869461e-18	8.55211601700533e-22	4.98517011242132e-28
1.89865917408552e-08	3.17733843792962e-05	3.40418317209154e-15	1.15675320128458e-14
9.84448720646031e-09	1.79555141673646e-10	9.18751369794177e-16	1.50479990571803e-17
2.65064991373948e-08	5.92793044964985e-10	5.66323534156218e-20	6.11393118489491e-21
1.32992472455489e-11	5.60370726618731e-05	3.64466688068189e-12	9.31754558307103e-12
3.86354415146522e-12	8.58649273017917e-15	5.2425667400391e-26	1.58729779910462e-28
4.74111809332725e-07	1.13694025040494e-07	1.65481904325435e-13	4.87433284547585e-14
7.05855280299585e-09	7.34706129351687e-05	3.02589197117508e-14	1.1951558860812e-13
1.13696740289375e-09	4.87153876007707e-17	5.60622815877706e-24	1.67846414746867e-28
1.61197115003491e-09	1.13763110510973e-08	2.48541909858451e-22	1.28389756794476e-22
1.49154207938923e-06	1.23326972885587e-13	2.0874805810343e-17	3.78731557781858e-21
9.70668580189289e-08	1.69436345904638e-11	1.66959883641271e-14	1.93237109747556e-17
6.80253803793242e-05	2.85528961666494e-11	3.92644449549313e-11	1.02953900501716e-14
8.2751373855944e-09	1.10249771183293e-05	2.15933465111243e-11	2.60711351091216e-11
2.34913348776759e-07	3.67283300334955e-14	1.33844473664411e-14	1.628776338117e-19
1.48731045224149e-05	9.98929758341421e-17	2.43217986462172e-13	1.61277535076481e-20
7.86927192202797e-08	4.6119778420065e-13	3.02983635758688e-15	3.93685313787581e-19
0.000294325801481952	3.14916063842683e-11	1.20700685182272e-10	2.39569427594091e-14
5.22273403514136e-10	4.14992711653352e-12	4.51813479658623e-18	1.92454366842795e-20
4.56400188498736e-09	1.80533895975209e-15	5.90725291333773e-20	2.13777089944172e-24
4.87515263943816e-08	6.61783415704849e-19	2.85574563688497e-22	8.74621770601137e-29
5.91840420898808e-06	4.20534039288404e-18	1.11973097088171e-14	1.58731911314262e-22
1.40207246193618e-11	3.56748159731688e-13	4.39857445580779e-22	2.79910767919065e-24
2.29933361058038e-07	3.40542942089943e-07	2.54135511478102e-15	1.52161874630825e-15
